run,field,first,peak_abs,last,min,max,mean
da62_test-2,global.S2,-15711.565900081128,-15711.565900081128,-321.67750000501565,-15711.565900081128,-321.67750000501565,-7118.2235409385385
da62_test-3,global.S2,-15711.565900166395,-15711.565900166395,-321.6775000046782,-15711.565900166395,-321.6775000046782,-7118.2235409611085
da62_test-4,global.S2,-15711.565900166395,-15711.565900166395,-321.6775000046782,-15711.565900166395,-321.6775000046782,-7118.2235409611085
da62_test-5,global.S2,-15711.56589878467,-15711.56589878467,-321.67749984493275,-15711.56589878467,-321.67749984493275,-7118.223540760443
da62_test-6,global.S2,-15711.565900078422,-15711.565900078422,-321.6775000131129,-15711.565900078422,-321.6775000131129,-7118.2235408991455
da62_test-single-nooffset-2,global.S2,-15711.565900029014,-15711.565900029014,-321.6775000222442,-15711.565900029014,-321.6775000222442,-7118.223540929207
da62_test-1,global.T,-2007944.395628816,-2007944.395628816,160103.30980292615,-2007944.395628816,1064766.631993847,322801.00474897673
da62_test-2,global.T,-1241028.672877581,2112784.933852562,167017.66003909594,-1241028.672877581,2112784.933852562,973436.5854239872
da62_test-3,global.T,-1750202.2225589207,2198071.4612359847,163347.5185545766,-1750202.2225589207,2198071.4612359847,856819.5195900422
da62_test-4,global.T,-1750202.2225589207,2198071.4612359847,163347.5185545766,-1750202.2225589207,2198071.4612359847,856819.5195900422
da62_test-5,global.T,-1633095.498496584,1817560.7160536996,166512.97611026722,-1633095.498496584,1817560.7160536996,604092.3421576697
da62_test-6,global.T,-1618551.3608289342,2322838.538166815,163344.29325141094,-1618551.3608289342,2322838.538166815,898798.5460817721
da62_test-single-nooffset-2,global.T,-3540814.7929176185,-3540814.7929176185,162153.19652837882,-3540814.7929176185,1112046.3635069341,22564.93758354412
da62_test-1,global.M1,-42123838.7837055,-42123838.7837055,-72874.41396572813,-42123838.7837055,-72874.41396572813,-13904814.040182184
da62_test-2,global.M1,-42230247.62636545,-42230247.62636545,-56458.148759365096,-42230247.62636545,-56458.148759365096,-13783363.506439043
da62_test-3,global.M1,-42073991.79060531,-42073991.79060531,-46710.463458835264,-42073991.79060531,-46710.463458835264,-13703897.39843166
da62_test-4,global.M1,-42073991.79060531,-42073991.79060531,-46710.463458835264,-42073991.79060531,-46710.463458835264,-13703897.39843166
da62_test-5,global.M1,-43310556.74506773,-43310556.74506773,-91650.62649033125,-43310556.74506773,-91650.62649033125,-14531293.795695215
da62_test-6,global.M1,-41985712.93015902,-41985712.93015902,-47147.08295368811,-41985712.93015902,-47147.08295368811,-13699555.212729096
da62_test-single-nooffset-2,global.M1,-41678505.88195462,-41678505.88195462,-64685.44077986968,-41678505.88195462,-64685.44077986968,-13675266.25778026
da62_test-1,global.M2,1392016.0541899442,1392016.0541899442,5758.047753281891,5758.047753281891,1392016.0541899442,501268.52668525564
da62_test-2,global.M2,1396592.5594217721,1396592.5594217721,4460.944502827711,4460.944502827711,1396592.5594217721,497136.0096578583
da62_test-3,global.M2,1390081.2695344575,1390081.2695344575,3690.747745271772,3690.747745271772,1390081.2695344575,493253.99122741283
da62_test-4,global.M2,1390081.2695344575,1390081.2695344575,3690.747745271772,3690.747745271772,1390081.2695344575,493253.99122741283
da62_test-5,global.M2,1429993.8535881331,1429993.8535881331,7241.6182719394565,7241.6182719394565,1429993.8535881331,521913.9990854224
da62_test-6,global.M2,1386950.4161828384,1386950.4161828384,3725.2464899905026,3725.2464899905026,1386950.4161828384,493133.06511889095
da62_test-single-nooffset-2,global.M2,1378328.006204309,1378328.006204309,5111.009974438697,5111.009974438697,1378328.006204309,493970.6616479078
